10:03:00 [激光测距] 已通过 MyLink MAVLink 收到四路距离数据
10:03:01 [电机输出] 已通过 MyLink MAVLink 收到四路电机PWM数据
10:03:03 [成功] PX4已连接：udp:127.0.0.1:14540 系统ID=1 组件ID=1
10:03:03 [贴顶流程] 待机
10:03:03 [离地高度] 已请求3 Hz测距数据流
10:03:03 [成功] 已保存UDP地址：udp:127.0.0.1:14540
10:03:03 [成功] 本地NED坐标原点=(-0.026564037427306175, 0.016641510650515556, -0.10862046480178833)；已启动10 Hz本地位置数据流
10:03:03.562182 [轨迹] 序号=1 单调时间=4598.342057 时间=4598.342 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.027,0.017,-0.109) 实际速度=(-0.001,-0.001,-0.013) 最终目标=(-0.027,0.017,-0.109) 指令位置=(-0.027,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:03.665691 [轨迹] 序号=2 单调时间=4598.445597 时间=4598.446 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.017,-0.108) 实际速度=(-0.001,-0.001,-0.013) 最终目标=(-0.026,0.017,-0.108) 指令位置=(-0.026,0.017,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:03.768157 [轨迹] 序号=3 单调时间=4598.548048 时间=4598.548 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.108) 实际速度=(-0.002,-0.001,-0.013) 最终目标=(-0.026,0.016,-0.108) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:03.870876 [轨迹] 序号=4 单调时间=4598.650776 时间=4598.651 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.108) 实际速度=(-0.001,-0.002,-0.013) 最终目标=(-0.026,0.016,-0.108) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:03.973588 [轨迹] 序号=5 单调时间=4598.753413 时间=4598.753 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.108) 实际速度=(-0.002,-0.001,-0.012) 最终目标=(-0.026,0.016,-0.108) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.076337 [轨迹] 序号=6 单调时间=4598.856423 时间=4598.856 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.107) 实际速度=(-0.001,-0.001,-0.012) 最终目标=(-0.026,0.016,-0.107) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.179230 [轨迹] 序号=7 单调时间=4598.959062 时间=4598.959 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.107) 实际速度=(-0.001,-0.001,-0.012) 最终目标=(-0.026,0.016,-0.107) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.282142 [轨迹] 序号=8 单调时间=4599.061993 时间=4599.062 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.026,0.016,-0.107) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.026,0.016,-0.107) 指令位置=(-0.026,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.384696 [轨迹] 序号=9 单调时间=4599.164742 时间=4599.165 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.107) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.025,0.016,-0.107) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.487795 [轨迹] 序号=10 单调时间=4599.267665 时间=4599.268 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.107) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.025,0.016,-0.107) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
10:03:04.590564 [轨迹] 序号=11 单调时间=4599.370460 时间=4599.370 模式=AUTO.LOITER 起飞状态=未执行起飞 水平控制=位置保持 类型掩码=3520 实际位置NED=(-0.025,0.016,-0.106) 实际速度=(-0.001,-0.001,-0.011) 最终目标=(-0.025,0.016,-0.106) 指令位置=(-0.025,0.016,nan) 指令速度=(0.000,0.000,0.000) 指令加速度=(0.000,0.000,nan) 滚转角=0.04度 俯仰角=-0.03度
