11:13:23.965859 REJECT TAKEOFF reason=DISCONNECTED
11:13:26.703327 TX TAKEOFF amount=1.00 speed_limit=0.00
11:13:26.721669 RX TAKEOFF ACK=UNSUPPORTED latency=19ms
11:13:32.382261 TX TAKEOFF amount=1.00 speed_limit=0.00
11:13:32.388641 RX TAKEOFF ACK=UNSUPPORTED latency=7ms
11:13:36.360872 TX TAKEOFF amount=1.00 speed_limit=0.00
11:13:36.370311 RX TAKEOFF ACK=UNSUPPORTED latency=10ms
11:13:40.303562 TX UP amount=0.20 speed_limit=0.00
11:13:40.310994 RX UP ACK=UNSUPPORTED latency=8ms
11:16:44.368201 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:44.427692 RX TAKEOFF ACK=UNSUPPORTED latency=60ms
11:16:44.870088 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:44.913300 RX TAKEOFF ACK=UNSUPPORTED latency=43ms
11:16:45.048081 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.094510 RX TAKEOFF ACK=UNSUPPORTED latency=47ms
11:16:45.218304 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.274510 RX TAKEOFF ACK=UNSUPPORTED latency=56ms
11:16:45.386639 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.397133 RX TAKEOFF ACK=UNSUPPORTED latency=11ms
11:16:45.564344 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.577183 RX TAKEOFF ACK=UNSUPPORTED latency=13ms
11:16:45.742445 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.747378 RX TAKEOFF ACK=UNSUPPORTED latency=5ms
11:16:45.920837 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:45.932662 RX TAKEOFF ACK=UNSUPPORTED latency=12ms
11:16:46.104956 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:46.114387 RX TAKEOFF ACK=UNSUPPORTED latency=10ms
11:16:46.282885 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:46.293781 RX TAKEOFF ACK=UNSUPPORTED latency=11ms
11:16:46.452439 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:46.474688 RX TAKEOFF ACK=UNSUPPORTED latency=22ms
11:16:46.630454 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:46.657554 RX TAKEOFF ACK=UNSUPPORTED latency=27ms
11:16:46.831054 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:46.837304 RX TAKEOFF ACK=UNSUPPORTED latency=6ms
11:16:47.341216 TX UP amount=0.20 speed_limit=0.00
11:16:47.384281 RX UP ACK=UNSUPPORTED latency=43ms
11:16:47.529701 TX UP amount=0.20 speed_limit=0.00
11:16:47.567486 RX UP ACK=UNSUPPORTED latency=38ms
11:16:47.704274 TX UP amount=0.20 speed_limit=0.00
11:16:47.751398 RX UP ACK=UNSUPPORTED latency=47ms
11:16:47.904836 TX UP amount=0.20 speed_limit=0.00
11:16:47.930227 RX UP ACK=UNSUPPORTED latency=25ms
11:16:49.071754 TX DOWN amount=0.20 speed_limit=0.00
11:16:49.100725 RX DOWN ACK=UNSUPPORTED latency=29ms
11:16:49.268899 TX DOWN amount=0.20 speed_limit=0.00
11:16:49.276616 RX DOWN ACK=UNSUPPORTED latency=8ms
11:16:49.511983 TX LAND amount=0.00 speed_limit=0.00
11:16:49.529288 RX LAND ACK=ACCEPTED latency=17ms
11:16:49.936270 TX LEFT amount=0.20 speed_limit=0.20
11:16:49.952012 RX LEFT ACK=UNSUPPORTED latency=16ms
11:16:50.213959 TX LEFT amount=0.20 speed_limit=0.20
11:16:50.256960 RX LEFT ACK=UNSUPPORTED latency=43ms
11:16:50.477025 TX BACK amount=0.20 speed_limit=0.20
11:16:50.486747 RX BACK ACK=UNSUPPORTED latency=10ms
11:16:50.646970 TX BACK amount=0.20 speed_limit=0.20
11:16:50.673291 RX BACK ACK=UNSUPPORTED latency=26ms
11:16:55.348643 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:55.400043 RX TAKEOFF ACK=UNSUPPORTED latency=52ms
11:16:55.519111 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:55.534105 RX TAKEOFF ACK=UNSUPPORTED latency=15ms
11:16:55.688503 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:55.716272 RX TAKEOFF ACK=UNSUPPORTED latency=28ms
11:16:55.859170 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:55.894523 RX TAKEOFF ACK=UNSUPPORTED latency=35ms
11:16:56.020116 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:56.029349 RX TAKEOFF ACK=UNSUPPORTED latency=9ms
11:16:56.190371 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:56.210225 RX TAKEOFF ACK=UNSUPPORTED latency=20ms
11:16:56.777959 TX UP amount=0.20 speed_limit=0.00
11:16:56.825116 RX UP ACK=UNSUPPORTED latency=47ms
11:16:56.954595 TX UP amount=0.20 speed_limit=0.00
11:16:57.009597 RX UP ACK=UNSUPPORTED latency=55ms
11:16:57.224506 TX TAKEOFF amount=1.00 speed_limit=0.00
11:16:57.254092 RX TAKEOFF ACK=UNSUPPORTED latency=30ms
